name x1 y1 z1 x2 y2 z2
J140505.77+470441.1 -0.17779 0.21932 0.44772 -0.29252 0.36086 0.73666
J140854.17+565743.3 -0.14648 0.29758 0.41249 -0.24101 0.48962 0.67870
J141505.91+044546.1 -0.27993 -0.14858 0.42394 -0.46059 -0.24447 0.69752
J141949.39+060654.0 -0.28844 -0.13442 0.42296 -0.47459 -0.22116 0.69592
J1419P3203 -0.24498 0.09630 0.45921 -0.40308 0.15845 0.75556
J142127.85+473011.7 -0.19811 0.22843 0.43443 -0.32596 0.37585 0.71480
J142614.79+004159.4 -0.30236 -0.17723 0.39664 -0.49749 -0.29161 0.65262
J142859.03+322506.8 -0.25962 0.10404 0.44937 -0.42717 0.17119 0.73937
J143216.78+095519.2 -0.30902 -0.09430 0.41925 -0.50845 -0.15515 0.68982
J144625.07+035503.6 -0.33861 -0.13800 0.38270 -0.55713 -0.22706 0.62968
J1456P2750 -0.31510 0.07824 0.41804 -0.51845 0.12873 0.68782
J152447.75+041919.8 -0.40121 -0.10837 0.32780 -0.66013 -0.17831 0.53934
J153314.28+150103.0 -0.40058 -0.00951 0.34584 -0.65909 -0.01565 0.56904
J1544P2827 -0.37837 0.11462 0.35193 -0.62256 0.18860 0.57906
J155821.86+120533.2 -0.43829 -0.01547 0.29635 -0.72114 -0.02545 0.48761
J155837.78+081345.7 -0.44394 -0.04851 0.28412 -0.73044 -0.07982 0.46748
J155855.34+125555.3 -0.43753 -0.00778 0.29777 -0.71990 -0.01280 0.48993
J161723.67+085414.7 -0.46437 -0.02705 0.25256 -0.76406 -0.04450 0.41555
J165931.92+373528.8 -0.40143 0.24160 0.24627 -0.66049 0.39751 0.40520
LBQS-1435-0134 -0.32374 -0.19133 0.37249 -0.53267 -0.31480 0.61287
MCG+10-22-028 -0.22595 0.33305 0.34379 -0.37176 0.54798 0.56565
MRK-1253 0.23853 -0.22668 0.41458 0.39247 -0.37297 0.68214
MRK-279 -0.08358 0.37850 0.36043 -0.13751 0.62277 0.59304
MRK106 0.20030 0.30028 0.38713 0.32957 0.49407 0.63697
MRK1392 -0.37195 -0.12704 0.35451 -0.61199 -0.20902 0.58329
MRK290 -0.22237 0.33404 0.34516 -0.36588 0.54961 0.56790
MRK486 -0.24330 0.31219 0.35143 -0.40032 0.51366 0.57823
MRK504 -0.44226 0.18068 0.22788 -0.72767 0.29728 0.37494
MRK817 -0.16645 0.31867 0.38846 -0.27388 0.52433 0.63915
MRK841 -0.36345 -0.07011 0.37835 -0.59800 -0.11536 0.62252
MRK876 -0.19176 0.39413 0.29674 -0.31551 0.64848 0.48824
MS1217.0+0700 -0.02895 -0.16501 0.50209 -0.04764 -0.27150 0.82612
NPM1G+68.0125 -0.13998 0.38779 0.33195 -0.23032 0.63805 0.54617
PG-1206+459 -0.00336 0.18751 0.49496 -0.00553 0.30852 0.81439
PG-1338+416 -0.15855 0.16388 0.47767 -0.26087 0.26964 0.78594
PG-1407+265 -0.24174 0.04062 0.46912 -0.39774 0.06683 0.77187
PG-1522+101 -0.39570 -0.05991 0.34641 -0.65106 -0.09857 0.56996
PG-1630+377 -0.38379 0.22200 0.28911 -0.63147 0.36527 0.47569
PG0832+251 0.38223 0.08062 0.35715 0.62891 0.13265 0.58765
PG0953+414 0.21382 0.17507 0.45144 0.35180 0.28805 0.74277
PG1001+291 0.23659 0.06428 0.46910 0.38928 0.10576 0.77183
PG1011-040 0.24889 -0.23226 0.40530 0.40951 -0.38216 0.66686
PG1048+342 0.14135 0.09322 0.50149 0.23256 0.15338 0.82513
PG1049-005 0.17018 -0.21839 0.45112 0.28001 -0.35933 0.74225
PG1112+431 0.08697 0.16685 0.49473 0.14309 0.27453 0.81401
PG1115+407 0.08442 0.14524 0.50194 0.13890 0.23897 0.82586
PG1116+215 0.10197 -0.02881 0.51859 0.16778 -0.04741 0.85326
PG1121+422 0.07204 0.15844 0.49987 0.11853 0.26069 0.82246
PG1126-041 0.08621 -0.25630 0.45502 0.14185 -0.42170 0.74867
PG1202+281 0.00445 0.02747 0.52857 0.00733 0.04520 0.86969
PG1211+143 -0.01660 -0.09975 0.51955 -0.02731 -0.16413 0.85485
PG1216+069 -0.02858 -0.16574 0.50187 -0.04702 -0.27270 0.82576
PG1222+216 -0.03872 -0.03213 0.52691 -0.06370 -0.05287 0.86695
PG1259+593 -0.06395 0.30000 0.43136 -0.10523 0.49361 0.70974
PG1352+183 -0.22785 -0.04006 0.47607 -0.37490 -0.06591 0.78330
PG1411+442 -0.20023 0.19696 0.44864 -0.32945 0.32407 0.73817
PG1626+554 -0.27315 0.34193 0.29771 -0.44943 0.56260 0.48985
Q0850+440 0.28528 0.22530 0.38473 0.46939 0.37069 0.63302
Q1545+210 -0.40617 0.05206 0.33538 -0.66829 0.08566 0.55182
QSO-B0844+349 0.33214 0.15527 0.38175 0.54649 0.25547 0.62812
QSO-B0906+3248 0.31221 0.12449 0.40888 0.51370 0.20483 0.67276
QSO-B0923+201 0.32153 0.00326 0.42044 0.52903 0.00537 0.69178
QSO-B0952+457 0.20086 0.21123 0.44181 0.33049 0.34755 0.72694
QSO-B1115+080A 0.11039 -0.15124 0.49508 0.18163 -0.24885 0.81458
QSO-B1124+271 0.08050 0.02125 0.52271 0.13244 0.03496 0.86005
QSO-B1126-041 0.08621 -0.25630 0.45502 0.14185 -0.42170 0.74867
QSO-B1139+305 0.04913 0.05039 0.52460 0.08084 0.08290 0.86316
QSO-B1229+204 -0.05447 -0.04276 0.52475 -0.08962 -0.07036 0.86341
QSO-B1254+571 -0.06181 0.28287 0.44309 -0.10169 0.46542 0.72904
QSO-B1307+085 -0.14193 -0.14295 0.48947 -0.23353 -0.23520 0.80535
QSO-B1309+3531 -0.12169 0.10225 0.50487 -0.20022 0.16824 0.83070
QSO-B1351+6400 -0.10476 0.34234 0.38986 -0.17236 0.56327 0.64146
QSO-B1411+4414 -0.20023 0.19696 0.44864 -0.32945 0.32407 0.73817
QSO-B1440+3539 -0.27027 0.13668 0.43409 -0.44469 0.22489 0.71423
QSO-B1617+1731 -0.45131 0.04803 0.27235 -0.74256 0.07903 0.44812
QSO-J1701+6412 -0.22090 0.40463 0.26008 -0.36346 0.66575 0.42793
RX.J1303.7+2633 -0.11631 0.02112 0.51593 -0.19137 0.03475 0.84890
RXJ1230.8+0115 -0.05519 -0.21131 0.48214 -0.09081 -0.34768 0.79330
RXSJ09565-0452 0.28410 -0.22818 0.38390 0.46745 -0.37543 0.63166
RXSJ15032+6809 -0.13697 0.38598 0.33529 -0.22537 0.63507 0.55167
RXSJ16083+6018 -0.22789 0.36232 0.31138 -0.37496 0.59614 0.51232
SBS1108+560 0.07117 0.27515 0.44653 0.11710 0.45272 0.73470
SBS1122+594 0.04825 0.29967 0.43363 0.07939 0.49306 0.71347
SBS1458+534 -0.21658 0.28784 0.38781 -0.35636 0.47361 0.63809
SBS1518+593 -0.20214 0.33563 0.35588 -0.33260 0.55224 0.58555
SBS1521+598 -0.20095 0.34003 0.35237 -0.33064 0.55947 0.57977
SBS1527+564 -0.22700 0.32048 0.35487 -0.37349 0.52730 0.58388
SBS1551+572 -0.23959 0.33589 0.33157 -0.39420 0.55266 0.54554
SBS1624+575 -0.25729 0.35322 0.29866 -0.42333 0.58118 0.49141
SDSS-J093001.90+284858.4 0.29319 0.07990 0.43338 0.48241 0.13147 0.71306
SDSS-J093706.85+170021.5 0.30773 -0.02901 0.42968 0.50632 -0.04772 0.70697
SDSS-J100535.24+013445.7 0.26714 -0.17927 0.42031 0.43954 -0.29497 0.69155
SDSS-J103304.86+211216.1 0.19638 -0.01721 0.49122 0.32312 -0.02831 0.80824
SDSS-J104741.75+151332.2 0.17298 -0.07650 0.49436 0.28461 -0.12586 0.81339
SDSS-J113137.16+155645.3 0.07801 -0.08011 0.51736 0.12835 -0.13182 0.85124
SDSS-J115552.80+292238.4 0.02214 0.04127 0.52723 0.03643 0.06791 0.86748
SDSS-J124129.64+285212.0 -0.06973 0.03860 0.52327 -0.11473 0.06351 0.86096
SDSS-J131802.01+262830.3 -0.14473 0.02382 0.50857 -0.23814 0.03920 0.83678
SDSS-J135424.90+243006.3 -0.21778 0.01799 0.48209 -0.35832 0.02960 0.79321
SDSS-J135726.27+043541.4 -0.24475 -0.15856 0.44172 -0.40269 -0.26088 0.72679
SDSS-J141038.39+230447.1 -0.25034 0.01212 0.46620 -0.41190 0.01994 0.76707
SDSS-J141309.14+092011.2 -0.27341 -0.10970 0.43974 -0.44986 -0.18050 0.72353
SDSS-J145424.33+304658.3 -0.30357 0.10294 0.42120 -0.49947 0.16938 0.69303
SDSS-J150928.29+070235.7 -0.37562 -0.09593 0.36038 -0.61802 -0.15785 0.59295
SDSS-J150952.19+111047.0 -0.37192 -0.05967 0.37185 -0.61194 -0.09818 0.61183
SDSS-J151237.05+012846. -0.38339 -0.14132 0.33646 -0.63081 -0.23252 0.55359
SDSS-J151507.43+065708.3 -0.38463 -0.09277 0.35159 -0.63286 -0.15264 0.57848
SDSS-J160519.70+144852.2 -0.44140 0.01362 0.29179 -0.72627 0.02241 0.48009
SDSS.J125846.67+242739.1 -0.10816 0.00086 0.51813 -0.17796 0.00141 0.85251
SDSS.J130429.04+311308.2 -0.11257 0.06398 0.51322 -0.18521 0.10527 0.84443
SDSS104741.75+151332.3 0.17298 -0.07649 0.49436 0.28461 -0.12586 0.81339
SDSSJ080359.23+433258.4 0.33463 0.25163 0.32383 0.55059 0.41402 0.53282
SDSSJ080908.13+461925.6 0.31475 0.26881 0.32990 0.51787 0.44229 0.54281
SDSSJ082024.21+233450.4 0.40508 0.07952 0.33128 0.66651 0.13083 0.54507
SDSSJ082633.51+074248.3 0.43009 -0.06213 0.30221 0.70764 -0.10222 0.49724
SDSSJ084349.49+411741.6 0.30803 0.21074 0.37533 0.50681 0.34674 0.61755
SDSSJ085116.14+424328.8 0.29303 0.21793 0.38315 0.48214 0.35857 0.63041
SDSSJ091029.75+101413.6 0.36247 -0.07237 0.37887 0.59639 -0.11907 0.62337
SDSSJ091235.42+295725.4 0.31610 0.09964 0.41269 0.52010 0.16395 0.67902
SDSSJ091440.38+282330.6 0.31788 0.08482 0.41463 0.52302 0.13956 0.68222
SDSSJ0915+4756 0.24146 0.24701 0.40105 0.39729 0.40641 0.65988
SDSSJ092554.43+453544.4 0.23927 0.22376 0.41574 0.39369 0.36816 0.68405
SDSSJ092554.70+400414.1 0.26168 0.17866 0.42399 0.43055 0.29397 0.69761
SDSSJ092837.98+602521.0 0.16641 0.33254 0.37668 0.27380 0.54715 0.61977
SDSSJ092909.79+464424.0 0.23039 0.23146 0.41654 0.37907 0.38083 0.68536
SDSSJ093518.19+020415.5 0.32490 -0.15860 0.38659 0.53457 -0.26095 0.63607
SDSSJ094331.61+053131.4 0.30848 -0.13380 0.40878 0.50755 -0.22015 0.67259
SDSSJ094733.21+100508.7 0.29766 -0.09624 0.42696 0.48975 -0.15835 0.70251
SDSSJ094840.08+580039.1 0.15904 0.30976 0.39864 0.26168 0.50967 0.65591
SDSSJ094952.91+390203.9 0.23140 0.15904 0.44869 0.38074 0.26169 0.73825
SDSSJ095000.73+483129.3 0.19713 0.23744 0.43002 0.32436 0.39068 0.70754
SDSSJ095109.12+330745.8 0.24744 0.10731 0.45543 0.40713 0.17657 0.74935
SDSSJ095915.65+050355.1 0.27866 -0.14628 0.42557 0.45850 -0.24068 0.70022
SDSSJ100102.55+594414.3 0.13922 0.31867 0.39904 0.22907 0.52432 0.65656
SDSSJ100902.06+071343.8 0.25827 -0.13231 0.44266 0.42495 -0.21769 0.72834
SDSSJ101622.60+470643.3 0.16704 0.21716 0.45288 0.27485 0.35730 0.74515
SDSSJ102218.99+013218.8 0.23313 -0.18732 0.43672 0.38358 -0.30821 0.71856
SDSSJ104816.25+120734.7 0.17405 -0.10459 0.48880 0.28638 -0.17208 0.80426
SDSSJ104843.49+130605.9 0.17243 -0.09598 0.49114 0.28370 -0.15791 0.80810
SDSSJ105945.23+144142.9 0.14783 -0.08485 0.50111 0.24324 -0.13961 0.82450
SDSSJ105958.82+251708.8 0.13774 0.01183 0.51093 0.22662 0.01946 0.84066
SDSSJ110052.33+283801.2 0.13197 0.04226 0.51084 0.21714 0.06954 0.84052
SDSSJ110307.57+291230.0 0.12688 0.04698 0.51172 0.20876 0.07730 0.84196
SDSSJ110312.93+414154.9 0.10839 0.15910 0.49305 0.17833 0.26178 0.81125
SDSSJ110406.94+314111.4 0.12182 0.06935 0.51040 0.20044 0.11411 0.83979
SDSSJ110612.25+292730.6 0.12061 0.04857 0.51309 0.19844 0.07991 0.84421
SDSSJ111239.11+353928.2 0.10082 0.10358 0.50918 0.16589 0.17043 0.83779
SDSSJ111754.31+263416.6 0.10041 0.01971 0.51932 0.16521 0.03242 0.85446
SDSSJ112114.22+032546.7 0.10455 -0.18958 0.48300 0.17202 -0.31193 0.79471
SDSSJ112244.89+575543.0 0.05379 0.29046 0.43920 0.08851 0.47792 0.72264
SDSSJ113327.78+032719.1 0.07678 -0.19140 0.48747 0.12633 -0.31493 0.80207
SDSSJ113457.62+255527.9 0.06610 0.01114 0.52504 0.10875 0.01832 0.86388
SDSSJ115758.72-002220.8 0.02056 -0.22605 0.47816 0.03384 -0.37193 0.78675
SDSSJ120556.08+104253.8 0.00216 -0.12997 0.51309 0.00355 -0.21384 0.84422
SDSSJ120720.99+262429.1 -0.00096 0.01366 0.52913 -0.00158 0.02248 0.87060
SDSSJ121037.56+315706.0 -0.00733 0.06474 0.52528 -0.01206 0.10651 0.86427
SDSSJ121114.56+365739.5 -0.00804 0.11037 0.51761 -0.01323 0.18159 0.85165
SDSSJ121430.55+082508.1 -0.01741 -0.15030 0.50722 -0.02865 -0.24730 0.83455
SDSSJ121640.56+071224.3 -0.02243 -0.16092 0.50375 -0.03690 -0.26477 0.82885
SDSSJ121716.08+080942.0 -0.02373 -0.15247 0.50631 -0.03904 -0.25087 0.83306
SDSSJ121850.51+101554.2 -0.02716 -0.13370 0.51142 -0.04469 -0.21998 0.84147
SDSSJ122018.43+064119.6 -0.03077 -0.16530 0.50189 -0.05063 -0.27197 0.82579
SDSSJ122035.10+385316.4 -0.02461 0.12799 0.51301 -0.04050 0.21059 0.84408
SDSSJ122102.49+155447.0 -0.03142 -0.08254 0.52188 -0.05170 -0.13581 0.85868
SDSSJ122106.87+454852.1 -0.02289 0.18899 0.49388 -0.03766 0.31096 0.81261
SDSSJ122312.16+095017.7 -0.03710 -0.13725 0.50985 -0.06104 -0.22582 0.83889
SDSSJ122317.79+092306.9 -0.03736 -0.14128 0.50873 -0.06147 -0.23245 0.83704
SDSSJ122512.93+121835.6 -0.04132 -0.11494 0.51502 -0.06798 -0.18912 0.84739
SDSSJ122520.13+084450.7 -0.04207 -0.14680 0.50680 -0.06922 -0.24153 0.83386
SDSSJ123235.82+060310.0 -0.05893 -0.16985 0.49784 -0.09695 -0.27946 0.81912
SDSSJ123304.05-003134.1 -0.06033 -0.22605 0.47479 -0.09927 -0.37192 0.78120
SDSSJ123335.07+475800.4 -0.04119 0.20815 0.48491 -0.06778 0.34247 0.79785
SDSSJ123426.80+072411.3 -0.06297 -0.15780 0.50129 -0.10361 -0.25963 0.82481
SDSSJ123604.02+264135.9 -0.06005 0.01791 0.52558 -0.09880 0.02946 0.86477
SDSSJ124154.02+572107.3 -0.04346 0.28519 0.44378 -0.07150 0.46925 0.73017
SDSSJ124511.25+335610.1 -0.07305 0.08544 0.51723 -0.12019 0.14058 0.85102
SDSSJ132222.68+464535.2 -0.11729 0.20504 0.47367 -0.19299 0.33737 0.77935
SDSSJ133045.15+281321.4 -0.16688 0.04342 0.50043 -0.27458 0.07145 0.82338
SDSSJ133053.27+311930.5 -0.16204 0.07162 0.49877 -0.26661 0.11784 0.82066
SDSSJ134206.56+050523.8 -0.21280 -0.16073 0.45721 -0.35014 -0.26446 0.75228
SDSSJ134231.22+382903.4 -0.16792 0.13904 0.48232 -0.27629 0.22878 0.79359
SDSSJ134246.89+184443.6 -0.20366 -0.03879 0.48701 -0.33509 -0.06382 0.80131
SDSSJ134251.60-005345.3 -0.21521 -0.21130 0.43497 -0.35409 -0.34767 0.71568
SDSSJ135341.03+361948.0 -0.19160 0.12379 0.47763 -0.31524 0.20368 0.78587
SDSSJ135625.55+251523.7 -0.22019 0.02563 0.48065 -0.36228 0.04218 0.79084
SDSSJ135712.61+170444.1 -0.23426 -0.04806 0.47220 -0.38544 -0.07908 0.77694
SDSSJ140732.25+550725.6 -0.15207 0.28348 0.42033 -0.25022 0.46642 0.69159
SDSSJ141542.90+163413.8 -0.27039 -0.04404 0.45289 -0.44489 -0.07246 0.74516
SDSSJ141910.20+420746.9 -0.21420 0.18333 0.44796 -0.35244 0.30164 0.73706
SDSSJ143511.53+360437.2 -0.25791 0.13879 0.44089 -0.42436 0.22836 0.72542
SDSSJ143726.14+504555.8 -0.20444 0.26004 0.41322 -0.33637 0.42785 0.67989
SDSSJ144511.28+342825.4 -0.27800 0.12992 0.43128 -0.45740 0.21377 0.70960
SDSSJ145108.76+270926.9 -0.30937 0.06942 0.42383 -0.50903 0.11422 0.69735
SDSSJ150455.56+564920.3 -0.20306 0.31467 0.37405 -0.33410 0.51775 0.61544
SDSSJ151428.64+361957.9 -0.31133 0.16157 0.39639 -0.51225 0.26584 0.65221
SDSSJ152139.66+033729.2 -0.39681 -0.11663 0.33030 -0.65290 -0.19189 0.54347
SDSSJ153644.90+141229.7 -0.40689 -0.01395 0.33824 -0.66948 -0.02296 0.55653
SDSSJ154553.48+093620.5 -0.42620 -0.04686 0.31035 -0.70125 -0.07709 0.51064
SDSSJ155048.29+400144.9 -0.33593 0.21314 0.34912 -0.55272 0.35069 0.57443
SDSSJ155304.92+354828.6 -0.35815 0.18109 0.34510 -0.58929 0.29796 0.56781
SDSSJ155504.39+362848.0 -0.35712 0.18779 0.34258 -0.58759 0.30899 0.56366
SDSSJ160709.88+133419.0 -0.44590 0.00443 0.28515 -0.73367 0.00729 0.46918
SDSSJ161649.42+415416.3 -0.34938 0.24387 0.31405 -0.57485 0.40125 0.51672
SDSSJ161916.54+334238.4 -0.39265 0.18242 0.30448 -0.64605 0.30014 0.50098
SDSSJ170328.90+614109.0 -0.24150 0.39366 0.25859 -0.39736 0.64771 0.42547
SDSSJ171737.95+655939.3 -0.21038 0.41911 0.24545 -0.34615 0.68959 0.40385
TON0133 -0.08732 0.05428 0.51922 -0.14367 0.08930 0.85430
TON0694 -0.11352 0.03597 0.51573 -0.18678 0.05919 0.84856
TON1187 0.20442 0.12218 0.47270 0.33635 0.20104 0.77776
TON236 -0.35891 0.10354 0.37500 -0.59054 0.17036 0.61700
TON580 0.07027 0.06045 0.52112 0.11561 0.09945 0.85743
VV2000-J093603.9+320709 0.27417 0.10571 0.44025 0.45111 0.17393 0.72436
VV2000-J150204.1+064514 -0.36378 -0.10347 0.37030 -0.59855 -0.17024 0.60927
VV2006-J080838.8+051440 0.45443 -0.06869 0.26256 0.74770 -0.11301 0.43200
VV2006-J085259.2+031320 0.39564 -0.12069 0.33025 0.65097 -0.19858 0.54337
VV2006-J091431.8+083742 0.35749 -0.08907 0.38003 0.58820 -0.14656 0.62529
VV2006-J092542.3+344108 0.28148 0.13322 0.42800 0.46313 0.21920 0.70421
VV2006-J095240.2+515250 0.18060 0.26285 0.42244 0.29715 0.43248 0.69507
VV2006-J095243.0+515121 0.18064 0.26264 0.42255 0.29722 0.43214 0.69525
VV2006-J101541.1+594445 0.12438 0.31518 0.40664 0.20464 0.51858 0.66906
VV2006-J101814.0+054625 0.24041 -0.14920 0.44733 0.39557 -0.24549 0.73601
VV2006-J105910.9+051935 0.15343 -0.16796 0.47792 0.25245 -0.27635 0.78635
VV2006-J105956.1+121151 0.14899 -0.10741 0.49641 0.24514 -0.17673 0.81678
VV2006-J111507.6+023757 0.11840 -0.19516 0.47755 0.19481 -0.32111 0.78574
VV2006-J112005.0+041323 0.10705 -0.18253 0.48517 0.17614 -0.30032 0.79827
VV2006-J112224.1+031802 0.10192 -0.19091 0.48304 0.16770 -0.31412 0.79477
VV2006-J115412.1+463552 0.02012 0.19567 0.49139 0.03310 0.32195 0.80852
VV2006-J125124.6+055420 -0.10164 -0.16836 0.49141 -0.16724 -0.27701 0.80855
VV2006-J125901.7+413055 -0.08939 0.15540 0.49802 -0.14709 0.25569 0.81942
VV2006-J130524.3+035731 -0.13337 -0.18222 0.47872 -0.21944 -0.29981 0.78766
VV2006-J131545.2+152556 -0.15102 -0.07770 0.50132 -0.24848 -0.12784 0.82484
VV2006-J140655.7+015713 -0.26458 -0.17672 0.42300 -0.43533 -0.29076 0.69599
VV2006-J140658.8+144238 -0.25616 -0.06495 0.45861 -0.42147 -0.10686 0.75458
VV96-J100254.6+324039 0.22942 0.09817 0.46678 0.37749 0.16153 0.76803
